"Id","ProductName","Cliente","Pais_Venta","Quantity","UnitPrice","Pais_de_Origen","Proveedor"
1,"Queso Cabrales","Paul Henriot","France",12,14.0,"Spain","Cooperativa de Quesos 'Las Cabras'''"
2,"Singaporean Hokkien Fried Mee","Paul Henriot","France",10,9.8,"Singapore","Leka Trading"
3,"Mozzarella di Giovanni","Paul Henriot","France",5,34.8,"Italy","Formaggi Fortini s.r.l."
4,"Tofu","Karin Josephs","Germany",9,18.6,"Japan","Mayumi's'"
5,"Manjimup Dried Apples","Karin Josephs","Germany",40,42.4,"Sydney","G'day"
6,"Jack's New England Clam Chowder'","Mario Pontes","Brazil",10,7.7,"USA","New England Seafood Cannery"
7,"Manjimup Dried Apples","Mario Pontes","Brazil",35,42.4,"Sydney","G'day"
8,"Louisiana Fiery Hot Pepper Sauce","Mario Pontes","Brazil",15,16.8,"USA","New Orleans Cajun Delights"
9,"Gustaf's Knäckebröd'","Mary Saveley","France",6,16.8,"Sweden","PB Knäckebröd AB"
10,"Ravioli Angelo","Mary Saveley","France",15,15.6,"Italy","Pasta Buttini s.r.l."
11,"Louisiana Fiery Hot Pepper Sauce","Mary Saveley","France",20,16.8,"USA","New Orleans Cajun Delights"
12,"Sir Rodney's Marmalade'","Pascale Cartrain","Belgium",40,64.8,"UK","Specialty Biscuits, Ltd."
13,"Geitost","Pascale Cartrain","Belgium",25,2.0,"Norway","Norske Meierier"
14,"Camembert Pierrot","Pascale Cartrain","Belgium",40,27.2,"France","Gai pâturage"
15,"Gorgonzola Telino","Mario Pontes","Brazil",20,10.0,"Italy","Formaggi Fortini s.r.l."
16,"Chartreuse verte","Mario Pontes","Brazil",42,14.4,"France","Aux joyeux ecclésiastiques"
17,"Maxilaku","Mario Pontes","Brazil",40,16.0,"Finland","Karkki Oy"
18,"Guaraná Fantástica","Yang Wang","Switzerland",15,3.6,"Brazil","Refrescos Americanas LTDA"
19,"Pâté chinois","Yang Wang","Switzerland",21,19.2,"Canada","Ma Maison"
20,"Longlife Tofu","Yang Wang","Switzerland",21,8.0,"Japan","Tokyo Traders"
21,"Chang","Michael Holz","Switzerland",20,15.2,"UK","Exotic Liquids"
22,"Pavlova","Michael Holz","Switzerland",35,13.9,"Australia","Pavlova, Ltd."
23,"Inlagd Sill","Michael Holz","Switzerland",25,15.2,"Sweden","Svensk Sjöföda AB"
24,"Raclette Courdavault","Michael Holz","Switzerland",30,44.0,"France","Gai pâturage"
25,"Perth Pasties","Paula Parente","Brazil",15,26.2,"Sydney","G'day"
26,"Original Frankfurter grüne Soße","Paula Parente","Brazil",12,10.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
27,"Schoggi Schokolade","Carlos Hernández","Venezuela",25,35.1,"Germany","Heli Süßwaren GmbH & Co. KG"
28,"Chartreuse verte","Carlos Hernández","Venezuela",6,14.4,"France","Aux joyeux ecclésiastiques"
